MI	ANG	TAA	PERI	UGI	PNEUM	PTX	MUSC	PE
97	97	97	25	50	50	10	10	80
50	50	75	50	50	50	60	80	50
90	80	90	50	40	20	90	90	80
0	50	0	0	0	0	5	90	0
0	40	8	5	10	5	35	3	5
90	5	90	85	70	70	55	3	85
10	5	10	5	20	25	5	5	10
0	5	60	50	5	90	95	95	50
95	95	40	50	5	10	5	5	50
5	0	0	0	90	0	0	0	0
98	98	60	95	85	10	5	2	20
0	0	40	0	10	10	5	3	10
35	15	5	5	0	0	0	0	0
0	0	50	5	10	5	5	10	5
5	5	5	5	5	5	5	95	5
0	0	5	0	0	95	85	0	95
2	2	2	80	2	90	5	10	2
3	0	3	3	50	0	0	0	0
0	0	20	0	0	0	20	10	0
0	0	0	2	80	0	0	0	0
0	0	0	5	0	0	10	75	5
5	30	0	0	0	0	10	10	0
0	0	0	0	0	10	0	0	40
50	20	10	10	5	80	10	10	40
25	10	20	5	5	20	90	5	60
35	5	35	0	0	20	0	0	35
25	5	50	0	0	5	5	0	25
5	2	2	0	0	5	5	0	25
0	0	0	80	0	90	0	5	20
25	5	0	0	0	25	5	0	5
30	5	0	0	0	90	5	0	20
5	5	0	0	0	80	5	0	5
0	0	0	5	0	75	0	0	10
0	0	0	0	0	2	0	0	10
5	0	0	0	0	70	80	0	10
0	0	0	0	0	0	80	0	0
20	5	50	10	10	70	90	0	70
2	2	2	0	98	0	0	0	0
0	0	0	0	0	0	0	98	0
0	0	0	10	0	25	20	95	5
0	0	20	0	0	0	20	5	0
20	10	50	50	5	95	85	5	40
25	10	5	0	0	10	0	0	10
0	0	0	40	0	5	0	0	0
0	0	0	0	0	0	0	0	10
2	0	10	0	0	0	0	0	0
10	2	0	5	0	0	20	0	20
3	3	3	3	3	3	3	3	50
10	10	50	5	5	5	5	0	5
